seqid,signalp_type,p_other,p_SP,signalp_start,signalp_end,phobius_start,phobius_end,phobius_type,count_up_1000,count_up_200,count_up_100,phobius_compound_hydro,signalp_compound_hydro
YOL138C,OTHER,1,0,NA,NA,0,0,OTHER,2,1,0,NA,NA
YDR395W,OTHER,1,1.2e-5,NA,NA,0,0,OTHER,1,0,0,NA,NA
YPR165W,OTHER,1,0,NA,NA,0,0,OTHER,2,0,0,NA,NA
YPL015C,OTHER,1,1e-6,NA,NA,0,0,OTHER,1,1,0,NA,NA
YCL050C,OTHER,1,0,NA,NA,0,0,OTHER,0,0,0,NA,NA
YMR193W,OTHER,1,0,NA,NA,0,0,OTHER,0,0,0,NA,NA
YLR031W,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
YIL014C-A,OTHER,1,7e-6,NA,NA,0,0,OTHER,2,0,0,NA,NA
YGR053C,OTHER,1,0,NA,NA,0,0,OTHER,0,0,0,NA,NA
YCR101C,SP,0.037718,0.96224,3,18,3,16,SP,2,0,0,40.28888888888889,46.04444444444445
YER087C-B,OTHER,0.999867,1.35e-4,NA,NA,0,0,OTHER,2,0,0,NA,NA
YOR280C,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
YHR215W,SP,5.34e-4,0.999432,4,14,4,12,SP,1,0,0,17,21.26666666666667
YKL025C,OTHER,1,0,NA,NA,0,0,OTHER,0,0,0,NA,NA
YKR011C,OTHER,1,0,NA,NA,0,0,OTHER,3,0,0,NA,NA
YJL200C,OTHER,1,0,NA,NA,0,0,OTHER,1,1,1,NA,NA
YLL027W,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
YDR348C,OTHER,1,0,NA,NA,0,0,OTHER,2,1,0,NA,NA
YPL183C,OTHER,1,0,NA,NA,0,0,OTHER,0,0,0,NA,NA
YBL095W,OTHER,0.822356,0.177649,NA,NA,12,34,TM,0,0,0,46.25555555555555,NA
YGL060W,OTHER,1,0,NA,NA,0,0,OTHER,3,0,0,NA,NA
YLL007C,OTHER,1,0,NA,NA,0,0,OTHER,0,0,0,NA,NA
YEL009C,OTHER,1,0,NA,NA,0,0,OTHER,0,0,0,NA,NA
YOR083W,OTHER,1,0,NA,NA,0,0,OTHER,0,0,0,NA,NA
YDR329C,OTHER,1,6e-6,NA,NA,18,39,TM,0,0,0,50.599999999999994,NA
YBR252W,OTHER,1,1e-6,NA,NA,0,0,OTHER,1,0,0,NA,NA
YDL202W,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
YHR209W,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
YER075C,OTHER,1,0,NA,NA,0,0,OTHER,3,1,0,NA,NA
YDR261W-A,OTHER,1,0,NA,NA,0,0,OTHER,0,0,0,NA,NA
YER054C,OTHER,1,3e-6,NA,NA,0,0,OTHER,1,0,0,NA,NA
YDR305C,OTHER,1,1e-6,NA,NA,0,0,OTHER,0,0,0,NA,NA
YNL201C,OTHER,1,1e-6,NA,NA,0,0,OTHER,0,0,0,NA,NA
YCR061W,SP,0.003182,0.996786,4,17,4,15,SP,0,0,0,26.533333333333335,30.955555555555556
YHR051W,OTHER,1,0,NA,NA,0,0,OTHER,2,0,0,NA,NA
YDL116W,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
YDL165W,OTHER,1,0,NA,NA,0,0,OTHER,0,0,0,NA,NA
YLR154C-H,OTHER,0.999822,1.84e-4,NA,NA,0,0,OTHER,2,1,1,NA,NA
YPL119C-A,OTHER,1,2e-6,NA,NA,20,42,TM,1,1,1,58.777777777777786,NA
YIL143C,OTHER,1,5e-6,NA,NA,0,0,OTHER,2,0,0,NA,NA
YGR240C,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
YBR063C,OTHER,0.999915,7.8e-5,NA,NA,0,0,OTHER,1,0,0,NA,NA
YPR086W,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
YOL141W,OTHER,1,0,NA,NA,0,0,OTHER,0,0,0,NA,NA
YJL065C,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
YBR271W,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
YBR155W,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
YDR363W,OTHER,1,1e-6,NA,NA,0,0,OTHER,0,0,0,NA,NA
YPL147W,OTHER,1,0,NA,NA,0,0,OTHER,4,0,0,NA,NA
YGR266W,OTHER,1,0,NA,NA,0,0,OTHER,0,0,0,NA,NA
YBR067C,SP,2.68e-4,0.999737,3,16,7,18,SP,3,1,0,32.53333333333333,37.955555555555556
YAL034C,OTHER,1,0,NA,NA,0,0,OTHER,0,0,0,NA,NA
