seqid,signalp_type,p_other,p_SP,signalp_start,signalp_end,phobius_start,phobius_end,phobius_type,count_up_1000,count_up_200,count_up_100,phobius_compound_hydro,signalp_compound_hydro
C3_03580C_A,OTHER,1,0,NA,NA,0,0,OTHER,2,0,0,NA,NA
C2_05660W_A,OTHER,1,6e-6,NA,NA,0,0,OTHER,0,0,0,NA,NA
C7_02860C_A,OTHER,1,0,NA,NA,0,0,OTHER,2,1,0,NA,NA
C3_05180W_A,OTHER,1,0,NA,NA,0,0,OTHER,3,1,0,NA,NA
C7_04210C_A,OTHER,1,4e-6,NA,NA,0,0,OTHER,2,1,0,NA,NA
C3_03780W_A,OTHER,1,1.3e-5,NA,NA,0,0,OTHER,2,0,0,NA,NA
C5_03540C_A,OTHER,1,0,NA,NA,0,0,OTHER,3,0,0,NA,NA
C1_11000C_A,OTHER,1,0,NA,NA,0,0,OTHER,3,0,0,NA,NA
C6_02620C_A,OTHER,1,2e-6,NA,NA,0,0,OTHER,1,0,0,NA,NA
C6_01680C_A,SP,6.61e-4,0.999299,3,12,3,10,SP,2,0,0,22.577777777777776,28.22222222222222
C3_07440W_A,OTHER,1,0,NA,NA,0,0,OTHER,2,2,2,NA,NA
C5_00570W_A,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
C7_03470W_A,OTHER,1,0,NA,NA,0,0,OTHER,0,0,0,NA,NA
CR_04450C_A,OTHER,1,0,NA,NA,0,0,OTHER,0,0,0,NA,NA
C5_02590C_A,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
C3_06560W_A,OTHER,1,1e-6,NA,NA,0,0,OTHER,5,0,0,NA,NA
C7_03770C_A,OTHER,0.979064,0.020932,NA,NA,0,0,OTHER,1,0,0,NA,NA
CR_10410C_A,OTHER,1,0,NA,NA,0,0,OTHER,2,0,0,NA,NA
C6_03170C_A,OTHER,1,0,NA,NA,0,0,OTHER,0,0,0,NA,NA
C6_03630W_A,OTHER,1,0,NA,NA,0,0,OTHER,3,1,1,NA,NA
C4_00810C_A,OTHER,1,0,NA,NA,0,0,OTHER,8,1,1,NA,NA
C7_01960W_A,OTHER,1,0,NA,NA,0,0,OTHER,2,1,1,NA,NA
C5_00750C_A,OTHER,1,0,NA,NA,0,0,OTHER,1,1,1,NA,NA
C1_09850C_A,OTHER,1,1e-6,NA,NA,0,0,OTHER,0,0,0,NA,NA
C2_08600W_A,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
C1_02200C_A,OTHER,1,1e-6,NA,NA,0,0,OTHER,1,0,0,NA,NA
C1_07240W_A,OTHER,1,0,NA,NA,0,0,OTHER,7,0,0,NA,NA
C6_00540W_A,OTHER,1,0,NA,NA,0,0,OTHER,2,2,1,NA,NA
C1_00530C_A,OTHER,1,0,NA,NA,0,0,OTHER,2,0,0,NA,NA
C1_10500W_A,OTHER,1,0,NA,NA,0,0,OTHER,0,0,0,NA,NA
C3_01400W_A,OTHER,1,0,NA,NA,0,0,OTHER,9,5,0,NA,NA
C5_01490C_A,OTHER,1,0,NA,NA,0,0,OTHER,2,1,1,NA,NA
C4_03410W_A,OTHER,1,0,NA,NA,0,0,OTHER,0,0,0,NA,NA
C1_02150W_A,OTHER,1,0,NA,NA,0,0,OTHER,1,1,0,NA,NA
CR_01960C_A,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
C2_00490W_A,OTHER,1,0,NA,NA,0,0,OTHER,1,1,0,NA,NA
CR_10470C_A,OTHER,1,4e-6,NA,NA,0,0,OTHER,0,0,0,NA,NA
C2_08790W_A,SP,1e-6,1,3,17,5,17,SP,1,1,0,31.633333333333336,36.5
C1_10330C_A,OTHER,1,0,NA,NA,0,0,OTHER,0,0,0,NA,NA
C1_08320W_A,OTHER,1,0,NA,NA,0,0,OTHER,3,3,2,NA,NA
C6_01370W_A,OTHER,0.999945,5.4e-5,NA,NA,0,0,OTHER,3,0,0,NA,NA
C6_01290C_A,OTHER,1,0,NA,NA,0,0,OTHER,2,1,1,NA,NA
C3_01800C_A,OTHER,1,3e-6,NA,NA,0,0,OTHER,2,1,0,NA,NA
C1_10880W_A,OTHER,1,0,NA,NA,0,0,OTHER,0,0,0,NA,NA
C4_06540W_A,OTHER,0.999983,2.3e-5,NA,NA,26,46,TM,1,0,0,54.83333333333333,NA
CR_02670C_A,OTHER,1,0,NA,NA,0,0,OTHER,0,0,0,NA,NA
C7_03120W_A,OTHER,0.999992,1e-5,NA,NA,34,52,TM,0,0,0,36.31111111111111,NA
C7_02320W_A,OTHER,1,0,NA,NA,0,0,OTHER,0,0,0,NA,NA
C7_02760W_A,OTHER,1,1e-6,NA,NA,0,0,OTHER,1,0,0,NA,NA
C7_03780C_A,OTHER,1,0,NA,NA,0,0,OTHER,1,1,0,NA,NA
C3_06260C_A,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
C1_14340C_A,OTHER,1,1e-6,NA,NA,0,0,OTHER,2,0,0,NA,NA
C2_00260C_A,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
C1_08870C_A,OTHER,1,1e-6,NA,NA,0,0,OTHER,1,0,0,NA,NA
C6_02240C_A,OTHER,1,0,NA,NA,0,0,OTHER,1,1,1,NA,NA
C1_12080W_A,OTHER,1,0,NA,NA,0,0,OTHER,1,1,1,NA,NA
C4_04120C_A,OTHER,1,1e-5,NA,NA,0,0,OTHER,0,0,0,NA,NA
C6_01280W_A,OTHER,1,0,NA,NA,0,0,OTHER,2,1,1,NA,NA
C2_10250C_A,OTHER,1,5e-6,NA,NA,0,0,OTHER,2,1,1,NA,NA
CR_01070W_A,OTHER,1,0,NA,NA,0,0,OTHER,1,1,1,NA,NA
C2_02860W_A,OTHER,0.99996,2.9e-5,NA,NA,39,59,TM,3,0,0,68.6,NA
C7_01770W_A,OTHER,0.999954,5.5e-5,NA,NA,0,0,OTHER,4,0,0,NA,NA
C4_04160W_A,OTHER,1,0,NA,NA,0,0,OTHER,13,4,0,NA,NA
C7_03330C_A,OTHER,1,0,NA,NA,0,0,OTHER,2,1,0,NA,NA
C6_02780C_A,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
C6_00150W_A,OTHER,1,0,NA,NA,0,0,OTHER,2,0,0,NA,NA
C3_05400C_A,OTHER,1,3e-6,NA,NA,13,35,TM,0,0,0,86.12222222222223,NA
CR_04750W_A,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
C2_02590W_A,OTHER,1,9e-6,NA,NA,33,52,TM,2,2,2,55.55555555555554,NA
C1_14350W_A,OTHER,1,0,NA,NA,0,0,OTHER,1,0,0,NA,NA
C1_01600W_A,OTHER,1,0,NA,NA,0,0,OTHER,8,7,0,NA,NA
C1_09870W_A,OTHER,1,0,NA,NA,0,0,OTHER,2,0,0,NA,NA
